author;prize;short;long;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Архимандрит Тихон;0;1;0;;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;
Левенталь Вадим;0;1;0;;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;
Алексиевич Светлана;0;1;0;;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;
Ремизов Виктор;0;1;0;;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;
Вирабов Игорь;0;1;0;;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;
Екимов Борис;0;1;0;;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;
Динец Владимир;0;1;0;;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;
Малышев Игорь;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;
Ольгерд Бахаревич;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;
Александр Гоноровский;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;
Евгения Некрасова;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;
Вячеслав Ставецкий;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;
Григорий Аросев;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;
Владимир Паперный;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;
